dataset,field,type,nullable,unit,definition_pt,definition_en,interpretation,source,caveat
health_regions_current,release_id,str,False,documented_in_data_dictionary,Release id.,Release id.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,method_version,str,False,documented_in_data_dictionary,Method version.,Method version.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,geography_version,str,False,documented_in_data_dictionary,Geography version.,Geography version.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,health_region_code,str,False,documented_in_data_dictionary,Health region code.,Health region code.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,health_region_name,str,False,documented_in_data_dictionary,Health region name.,Health region name.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,uf,str,False,documented_in_data_dictionary,Uf.,Uf.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,municipality_count,int64,False,documented_in_data_dictionary,Municipality count.,Municipality count.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,population,int64,False,documented_in_data_dictionary,Population.,Population.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,area_km2,float64,False,documented_in_data_dictionary,Area km2.,Area km2.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,population_density,float64,False,documented_in_data_dictionary,Population density.,Population density.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,suicide_asmr,float64,False,documented_in_data_dictionary,Taxa de mortalidade por suicídio padronizada por idade.,Age-standardized suicide mortality rate.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,suicide_percentile,float64,False,documented_in_data_dictionary,Suicide percentile.,Suicide percentile.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,psychiatric_admission_rate,float64,False,documented_in_data_dictionary,Taxa de AIHs/internações psiquiátricas; não representa pacientes únicos.,Psychiatric AIH/admission rate; it does not represent unique patients.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,psychiatric_admission_percentile,float64,False,documented_in_data_dictionary,Psychiatric admission percentile.,Psychiatric admission percentile.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,caps_count,int64,False,documented_in_data_dictionary,Caps count.,Caps count.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,caps_rate,float64,False,documented_in_data_dictionary,Caps rate.,Caps rate.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
health_regions_current,caps_percentile,float64,False,documented_in_data_dictionary,Caps percentile.,Caps percentile.,"Territorial intelligence, not prevalence, direct access, quality, or unmet need.",MDB_ANALYTICAL_2024_2,"Territorial intelligence, not prevalence, direct access, quality, or unmet need."
