health_region_code,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster
11001,0.07547233475415434,0.4325,0.46196472019464724,False,not_significant
11002,-0.11252677800244401,0.0405,0.1177450331125828,False,not_significant
11003,0.2619800426909443,0.0095,0.04582967032967033,True,high-high
11004,0.09010825514682635,0.1081,0.21709452054794517,False,not_significant
11005,0.8665771095701295,0.166,0.27396240601503763,False,not_significant
11006,0.07608563766563643,0.0463,0.1273907975460123,False,not_significant
11007,1.279966908329611,0.0952,0.20287766990291262,False,not_significant
12001,-0.12138919167668114,0.0237,0.08390564516129032,True,low-high
12002,0.322926375293734,0.3712,0.4232644155844156,False,not_significant
12003,1.043560406340573,0.0157,0.06441401869158878,True,high-high
13001,0.005002627670128784,0.4082,0.44912230576441103,False,not_significant
13002,0.15356706816430113,0.1835,0.2948483636363637,False,not_significant
13003,-0.8508447910043953,0.0267,0.0912031007751938,True,low-high
13004,-0.11371025772480373,0.2951,0.38215014749262527,False,not_significant
13005,-0.44321688809010945,0.2555,0.3516128526645768,False,not_significant
13006,-0.19069686361035035,0.1274,0.23401087866108788,False,not_significant
13007,0.7427278641257894,0.0994,0.20764075829383885,False,not_significant
13008,0.17439199866777158,0.2077,0.317701393728223,False,not_significant
13009,1.3740456674503665,0.0666,0.16612159090909093,False,not_significant
14001,0.4543765959696276,0.2456,0.3455717948717949,False,not_significant
14002,-0.04536865783599543,0.4318,0.46196472019464724,False,not_significant
15001,0.15129144067783315,0.2468,0.3461507987220447,False,not_significant
15002,-0.015379430954056392,0.4428,0.46616115107913675,False,not_significant
15003,0.015714487581830257,0.1503,0.2562810810810811,False,not_significant
15004,0.08688250575641422,0.3383,0.40688684931506847,False,not_significant
15006,-0.19792723872462076,0.2118,0.3206213793103448,False,not_significant
15007,0.1113866317177109,0.3774,0.426360411311054,False,not_significant
15008,0.1069503599333376,0.2388,0.34147622149837137,False,not_significant
15009,-0.16979409286485472,0.3724,0.42353264248704664,False,not_significant
15010,0.2446162187175865,0.1407,0.24608486055776893,False,not_significant
15011,0.11709838162312379,0.1552,0.26204923076923076,False,not_significant
15012,-0.09892464000214861,0.3701,0.4231091145833333,False,not_significant
15013,0.06986842971982733,0.2973,0.3827410557184751,False,not_significant
15014,0.15237778300532162,0.1939,0.30185141843971625,False,not_significant
16001,0.03876870574732087,0.4428,0.46616115107913675,False,not_significant
16002,-0.19355118353539114,0.4237,0.45589289215686274,False,not_significant
16003,-0.19854941566065043,0.2862,0.3764359281437126,False,not_significant
17001,0.046706396302825366,0.3986,0.44300101265822783,False,not_significant
17002,0.48772385326210244,0.2374,0.34058366013071895,False,not_significant
17003,0.4134009949586772,0.1609,0.2685745247148289,False,not_significant
17004,0.18260553039752742,0.1265,0.2333340336134454,False,not_significant
17005,0.2880989390002213,0.021,0.0755655737704918,True,high-high
17006,0.22298101513160323,0.011,0.05023608247422681,True,high-high
17007,1.0875134854677129,0.0608,0.15339770114942528,False,not_significant
17008,0.6694317683755628,0.1832,0.2948483636363637,False,not_significant
21001,0.05526485390260878,0.3564,0.4138646437994723,False,not_significant
21002,-0.022621796072121062,0.421,0.4542085995085995,False,not_significant
21003,0.012672438793031725,0.4651,0.4825893867924529,False,not_significant
21004,0.035442190564150086,0.401,0.4445429292929293,False,not_significant
21005,-0.01421087949729055,0.4629,0.4815476303317536,False,not_significant
21006,-0.00700882069632929,0.421,0.4542085995085995,False,not_significant
21007,-0.0078091416017792795,0.2887,0.3772002976190476,False,not_significant
21008,0.13988780079177074,0.2547,0.3516128526645768,False,not_significant
21009,0.0011942612475108224,0.4491,0.47166244019138753,False,not_significant
21010,0.09286065411569897,0.3887,0.43753666666666663,False,not_significant
21011,-0.2789396187102835,0.3072,0.38753103448275855,False,not_significant
21012,0.09247397056941283,0.3012,0.3843802325581395,False,not_significant
21013,0.005392835945791175,0.4832,0.49318747099767984,False,not_significant
21014,-0.09035297207209755,0.3506,0.4125895721925133,False,not_significant
21015,-0.023423870456386907,0.4047,0.4475146095717884,False,not_significant
21016,-0.5742480806442627,0.1132,0.2218517857142857,False,not_significant
21017,-0.12236948111734583,0.2827,0.37381114457831327,False,not_significant
21018,-0.12333733033668288,0.3503,0.4125895721925133,False,not_significant
21019,-0.3656404972353056,0.1399,0.2456644,False,not_significant
22001,-0.12261082141111401,0.362,0.41710761154855647,False,not_significant
22002,-0.22980572055227508,0.2179,0.32465236486486493,False,not_significant
22003,0.030292353608303752,0.4206,0.4542085995085995,False,not_significant
22004,-0.008261728701530394,0.3591,0.4148549999999999,False,not_significant
22005,-0.08995606977257767,0.4282,0.45960831295843524,False,not_significant
22006,0.01398579442605828,0.3393,0.4069745901639344,False,not_significant
22007,-0.01270955211999435,0.4527,0.4724724465558195,False,not_significant
22008,0.263668998225445,0.21,0.3197560553633218,False,not_significant
22009,0.042612236528893066,0.4754,0.48876018735362997,False,not_significant
22010,-0.17265178942139897,0.1369,0.24322016129032256,False,not_significant
22011,-0.035863025479939734,0.4211,0.4542085995085995,False,not_significant
22012,0.09327677951912869,0.1707,0.2796167910447761,False,not_significant
23001,0.00033173923541969145,0.4939,0.49945080459770114,False,not_significant
23011,-0.1670970528808928,0.2479,0.3465863057324841,False,not_significant
23023,-0.1786948224207827,0.1927,0.30183202846975093,False,not_significant
23024,0.003498604911544723,0.4842,0.49318747099767984,False,not_significant
23025,0.0017680042551691314,0.4999,0.49989999999999996,False,not_significant
24001,0.14592379618023177,0.0833,0.18469040404040404,False,not_significant
24002,0.0012151608193422727,0.4984,0.499537899543379,False,not_significant
24003,0.10163163216317322,0.3298,0.4010587257617728,False,not_significant
24004,-0.04920079890381834,0.1829,0.2948483636363637,False,not_significant
24005,0.15288036794698237,0.2055,0.3154353146853147,False,not_significant
24006,-0.053141308121878526,0.1566,0.2634,False,not_significant
24007,0.18063201368601584,0.2511,0.3499457142857143,False,not_significant
24008,-0.0016985048853487346,0.4888,0.4966884526558892,False,not_significant
25001,0.6394199121386357,0.0132,0.056260194174757285,True,low-low
25002,0.22177075931381346,0.3284,0.40083138888888886,False,not_significant
25003,-0.5404672816384988,0.1629,0.2708829545454545,False,not_significant
25004,-0.041973306761475024,0.3984,0.44300101265822783,False,not_significant
25005,0.7502388965571398,0.0149,0.06229619047619048,True,low-low
25006,0.36321299538012236,0.1056,0.2140377880184332,False,not_significant
25007,0.0879075799938606,0.0293,0.09744469696969697,True,low-low
25008,0.16233493615644334,0.2359,0.33954131147540983,False,not_significant
25009,0.3675419850653271,0.1847,0.2948483636363637,False,not_significant
25010,0.5530175989254922,0.1338,0.24073032786885246,False,not_significant
25011,0.09251792601810613,0.053,0.13849404761904763,False,not_significant
25012,0.4299029485505845,0.1281,0.23431624999999998,False,not_significant
25013,0.5156660831918841,0.1479,0.25462,False,not_significant
25014,0.2994245164974489,0.1049,0.2140377880184332,False,not_significant
25015,0.25593184403775165,0.0093,0.04582967032967033,True,low-low
25016,1.2453243407193033e-17,0.1512,0.2562810810810811,False,not_significant
26001,1.0113771390903772,0.0818,0.18321530612244896,False,not_significant
26002,1.2269074983314767,0.0025,0.019954545454545454,True,low-low
26003,1.858897488281823,0.0006,0.00878,True,low-low
26004,2.4178325894876243,0.0012,0.011972727272727272,True,low-low
26005,1.357954655836335,0.0298,0.09762835820895523,True,low-low
26006,1.2000981993580577,0.0074,0.037340229885057474,True,low-low
26007,0.12356871845338815,0.366,0.41951436031331596,False,not_significant
26008,2.5827949625896984,0.0007,0.009312121212121213,True,low-low
26009,-0.04372986601302224,0.1195,0.22612284482758618,False,not_significant
26010,2.044007981646004,0.002,0.01756,True,low-low
26011,-0.06096952472969454,0.4531,0.4724724465558195,False,not_significant
26012,0.18300774052481417,0.1683,0.2767179775280899,False,not_significant
27001,0.3650209742131596,0.0033,0.023321875,True,low-low
27002,1.0939433027199377,0.0169,0.06624196428571429,True,low-low
27003,2.1273689095488213,0.0024,0.019879245283018866,True,low-low
27004,1.4630088416913327,0.0063,0.03266976744186047,True,low-low
27005,0.8419422368826728,0.1083,0.21709452054794517,False,not_significant
27006,0.8531669656523332,0.0455,0.1273907975460123,False,not_significant
27007,0.20230785532833773,0.085,0.1875125628140704,False,not_significant
27008,-0.13864178822353398,0.0054,0.03073,True,high-low
27009,0.2591820591967761,0.033,0.10347857142857143,False,not_significant
27010,0.7397333784498695,0.0719,0.17248142076502734,False,not_significant
28001,1.0815329379228869,0.0548,0.1415129411764706,False,not_significant
28002,2.0140179254159767,0.0161,0.06484311926605504,True,low-low
28003,0.11450062645319116,0.122,0.22986266094420602,False,not_significant
28004,1.2127882203305664,0.0111,0.05023608247422681,True,low-low
28005,-0.12904810279613416,0.1354,0.242614693877551,False,not_significant
28006,0.03515046737400274,0.1256,0.23265147679324893,False,not_significant
28007,0.24411446312401439,0.3102,0.38797094017094014,False,not_significant
29001,1.1951164238684406,0.0017,0.015547916666666666,True,low-low
29002,-0.10826973426392093,0.288,0.3772002976190476,False,not_significant
29003,0.6023022014790201,0.0337,0.1049241134751773,False,not_significant
29004,0.615168944681369,0.114,0.22242666666666666,False,not_significant
29005,1.657893368148684,0.0296,0.09762835820895523,True,low-low
29006,1.536539009091723,0.0063,0.03266976744186047,True,low-low
29007,0.45422897200986556,0.0758,0.17537253886010362,False,not_significant
29008,0.4445477548156339,0.0377,0.11225436241610738,False,not_significant
29009,1.307346176776886,0.0016,0.01494468085106383,True,low-low
29010,0.39640914545086314,0.1902,0.3003517985611511,False,not_significant
29011,0.23384488270010614,0.0064,0.03266976744186047,True,low-low
29012,1.8027186927856327,0.0191,0.07180254237288135,True,low-low
29013,2.2665162683671354,0.0023,0.019417307692307692,True,low-low
29014,0.7661716685558763,0.0302,0.09820592592592593,True,low-low
29015,0.7322257404217675,0.0037,0.024610606060606062,True,low-low
29016,-0.15812018917043627,0.0421,0.12079673202614379,False,not_significant
29017,-0.05666659039693834,0.2317,0.33792790697674413,False,not_significant
29018,2.142573099251767,0.0009,0.010975,True,low-low
29019,0.3884251772720179,0.0998,0.20764075829383885,False,not_significant
29020,0.7240089386909766,0.0043,0.026967142857142856,True,low-low
29021,0.1097379913861863,0.4064,0.44826532663316576,False,not_significant
29022,0.8956901301965162,0.0132,0.056260194174757285,True,low-low
29023,0.2357384621037114,0.0771,0.17537253886010362,False,not_significant
29024,0.5199514906350357,0.1444,0.2505596837944664,False,not_significant
29025,0.9437338502921272,0.0197,0.07267478991596638,True,low-low
29026,2.830299137221231,0.0004,0.007024,True,low-low
29027,0.7775553004193025,0.0207,0.07510165289256197,True,low-low
29028,0.8160543495595469,0.0006,0.00878,True,low-low
31001,-0.0472515149535987,0.3201,0.3925248603351955,False,not_significant
31002,0.0011942612475111347,0.4949,0.49945080459770114,False,not_significant
31003,-0.044484738643219744,0.4382,0.4657864406779661,False,not_significant
31004,0.0008384709175232813,0.2537,0.35147697160883284,False,not_significant
31006,-0.12777848935086397,0.2221,0.32718758389261743,False,not_significant
31007,0.09780626410474007,0.1847,0.2948483636363637,False,not_significant
31008,0.024095050016619823,0.1821,0.2948483636363637,False,not_significant
31009,-0.40648713461848685,0.0425,0.12115259740259741,False,not_significant
31010,0.11159500542495913,0.3573,0.4138646437994723,False,not_significant
31011,0.06919108928807942,0.3287,0.40083138888888886,False,not_significant
31012,0.04876516999783988,0.3172,0.3900582633053221,False,not_significant
31013,-0.05481161517221632,0.0601,0.15326936416184972,False,not_significant
31015,-0.3395960052974021,0.0375,0.11225436241610738,False,not_significant
31016,1.74009408546694,0.0011,0.011778048780487806,True,low-low
31017,1.8045191038173616,0.0011,0.011778048780487806,True,low-low
31018,2.9219902861298612,0.0124,0.054436,True,low-low
31019,0.0012485006125019884,0.4984,0.499537899543379,False,not_significant
31020,0.9930717680799188,0.0357,0.1095965034965035,False,not_significant
31021,0.36345599437006676,0.0009,0.010975,True,low-low
31022,2.6089134560727607,0.0034,0.023321875,True,low-low
31023,0.5824553093285457,0.2575,0.35215732087227414,False,not_significant
31024,-0.18249804688525137,0.1099,0.21830814479638008,False,not_significant
31025,0.6407211592895696,0.068,0.1675067039106145,False,not_significant
31026,0.12263259179843798,0.0461,0.1273907975460123,False,not_significant
31027,-0.756593112807177,0.0026,0.020382142857142856,True,high-low
31028,0.11745642304078026,0.2335,0.3383052805280528,False,not_significant
31030,0.133039281233128,0.3161,0.3900582633053221,False,not_significant
31031,0.5570382784587784,0.0228,0.08137560975609756,True,low-low
31032,0.15916267971774267,0.2587,0.3526996894409938,False,not_significant
31034,0.2904284119113379,0.0461,0.1273907975460123,False,not_significant
